Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Year
Mississippi,0.132,0.345,0.298,0.141,0.25750000000000006,0.326,0.21899999999999997,2015
Missouri,0.122,0.272,0.267,0.121,0.223,0.203,0.147,2015
Montana,0.124,0.2791521739130435,0.147,0.13693333333333335,0.38799999999999996,0.309,0.146,2015
Nebraska,0.091,0.321,0.24100000000000002,0.207,0.37799999999999995,0.306,0.126,2015
Nevada,0.10400000000000001,0.267,0.205,0.105,0.247,0.17800000000000002,0.149,2015
New Hampshire,0.073,0.228,0.185,0.09300000000000001,0.25750000000000006,0.12,0.079,2015
New Jersey,0.061,0.18100000000000002,0.2,0.066,0.25750000000000006,0.14300000000000002,0.106,2015
New Mexico,0.124,0.24100000000000002,0.257,0.109,0.332,0.2,0.209,2015
New York,0.098,0.223,0.254,0.159,0.23800000000000002,0.185,0.152,2015
North Carolina,0.11599999999999999,0.249,0.327,0.11699999999999999,0.259,0.22399999999999998,0.16699999999999998,2015
North Dakota,0.099,0.2791521739130435,0.24502083333333335,0.13693333333333335,0.37799999999999995,0.205,0.11800000000000001,2015
Ohio,0.113,0.32299999999999995,0.267,0.151,0.319,0.29,0.149,2015
Oklahoma,0.125,0.287,0.252,0.183,0.201,0.226,0.163,2015
Oregon,0.127,0.359,0.258,0.142,0.24600000000000002,0.175,0.151,2015
Pennsylvania,0.09,0.278,0.31,0.154,0.273,0.218,0.129,2015
Rhode Island,0.095,0.193,0.285,0.212,0.565,0.20600000000000002,0.13699999999999998,2015
South Carolina,0.11599999999999999,0.26,0.271,0.174,0.16899999999999998,0.196,0.165,2015
South Dakota,0.087,0.478,0.24502083333333335,0.13693333333333335,0.486,0.20348979591836727,0.13,2015
Tennessee,0.139,0.257,0.29600000000000004,0.086,0.177,0.23800000000000002,0.168,2015
Texas,0.086,0.213,0.22699999999999998,0.107,0.195,0.14800000000000002,0.158,2015
Utah,0.091,0.335,0.18899999999999997,0.204,0.285,0.141,0.114,2015
Vermont,0.09,0.2791521739130435,0.24502083333333335,0.13693333333333335,0.25750000000000006,0.20348979591836727,0.096,2015
Virginia,0.08900000000000001,0.19699999999999998,0.14400000000000002,0.08,0.11,0.11900000000000001,0.115,2015
Washington,0.10300000000000001,0.23199999999999998,0.221,0.11199999999999999,0.239,0.151,0.127,2015
West Virginia,0.17300000000000001,0.276,0.207,0.17800000000000002,0.25750000000000006,0.26,0.17800000000000002,2015
Wisconsin,0.08800000000000001,0.32,0.22699999999999998,0.15,0.22,0.187,0.11599999999999999,2015
Wyoming,0.098,0.2791521739130435,0.24502083333333335,0.13693333333333335,0.14400000000000002,0.20348979591836727,0.102,2015
Puerto Rico,0.41,0.46799999999999997,0.461,0.13693333333333335,0.25750000000000006,0.513,0.46,2015
United States,0.1,0.23800000000000002,0.21,0.12,0.273,0.174,0.141,2016
Alabama,0.121,0.27899999999999997,0.319,0.11800000000000001,0.126,0.251,0.17300000000000001,2016
Alaska,0.068,0.2580227272727273,0.17800000000000002,0.1293658536585366,0.27399999999999997,0.10400000000000001,0.106,2016
Arizona,0.11,0.21100000000000002,0.23800000000000002,0.136,0.36,0.155,0.165,2016
Arkansas,0.138,0.28800000000000003,0.255,0.129,0.263,0.254,0.172,2016
California,0.096,0.223,0.19,0.113,0.226,0.132,0.14400000000000002,2016
Colorado,0.081,0.19,0.172,0.11599999999999999,0.223,0.152,0.10800000000000001,2016
Connecticut,0.057999999999999996,0.182,0.19399999999999998,0.096,0.26397499999999996,0.13699999999999998,0.095,2016
Delaware,0.08,0.151,0.287,0.085,0.26397499999999996,0.17300000000000001,0.11699999999999999,2016
District of Columbia,0.076,0.281,0.217,0.14,0.26397499999999996,0.2008333333333334,0.191,2016
Florida,0.106,0.22699999999999998,0.19,0.12300000000000001,0.225,0.193,0.14800000000000002,2016
